,Date,Time,Latitude,Longitude,Depth,Magnitude,Year,Month,Country,Continent,MagGroup,DepthGroup,Tecto-setting,region
903,1968-05-08,0 days 12:17:13,43.597,-128.135,10.0,6.4,1968,5,Undefined,Undefined,1.0,Shallow,Transform,NorthAmerican-Pacific
904,1968-05-09,0 days 12:52:24,-5.348,-81.835,18.8,5.7,1968,5,Peru,South America,0.0,Shallow,Convergent,Carribean-Cocos
905,1968-05-11,0 days 15:33:39,-6.34,147.107,50.0,5.8,1968,5,Papua New Guinea,Oceania,0.0,Shallow,Convergent,Australian-Pacific
906,1968-05-14,0 days 14:05:06,29.938,129.445,160.1,6.7,1968,5,Japan,Asia,1.0,Intermediate,Convergent,Philippine-Eurasian
907,1968-05-15,0 days 07:51:18,-15.894,26.113,25.7,5.6,1968,5,Zambia,Africa,0.0,Shallow,Convergent,African-Arabian
908,1968-05-15,0 days 15:00:31,-29.787,-179.035,20.0,5.6,1968,5,Undefined,Undefined,0.0,Shallow,Convergent,Australian-Pacific
909,1968-05-16,0 days 00:49:02,40.86,143.435,29.9,8.2,1968,5,Undefined,Undefined,3.0,Shallow,Convergent,Philippine-Eurasian
910,1968-05-16,0 days 01:04:56,41.11,143.5,25.0,6.0,1968,5,Undefined,Undefined,0.0,Shallow,Convergent,Philippine-Eurasian
911,1968-05-16,0 days 06:36:52,41.097,143.204,30.0,5.8,1968,5,Undefined,Undefined,0.0,Shallow,Convergent,Philippine-Eurasian
912,1968-05-16,0 days 08:58:14,41.444,142.815,29.3,6.1,1968,5,Undefined,Undefined,1.0,Shallow,Convergent,Philippine-Eurasian
913,1968-05-16,0 days 10:39:02,41.43,142.864,25.0,7.9,1968,5,Undefined,Undefined,2.0,Shallow,Convergent,Philippine-Eurasian
914,1968-05-16,0 days 16:13:46,39.856,143.745,25.0,6.5,1968,5,Undefined,Undefined,1.0,Shallow,Convergent,Philippine-Eurasian
915,1968-05-16,0 days 18:43:22,40.82,142.198,59.3,5.7,1968,5,Undefined,Undefined,0.0,Shallow,Convergent,Philippine-Eurasian
916,1968-05-16,0 days 19:16:48,41.35,142.614,43.3,6.1,1968,5,Undefined,Undefined,1.0,Shallow,Convergent,Philippine-Eurasian
917,1968-05-16,0 days 19:45:07,12.678,141.471,20.0,5.7,1968,5,Undefined,Undefined,0.0,Shallow,Convergent,Philippine-Pacific
918,1968-05-16,0 days 20:22:16,41.506,142.717,37.1,6.1,1968,5,Undefined,Undefined,1.0,Shallow,Convergent,Philippine-Eurasian
919,1968-05-16,0 days 23:04:58,39.808,143.233,43.0,6.5,1968,5,Undefined,Undefined,1.0,Shallow,Convergent,Philippine-Eurasian
920,1968-05-17,0 days 10:42:47,39.698,143.516,27.8,6.1,1968,5,Undefined,Undefined,1.0,Shallow,Convergent,Philippine-Eurasian
921,1968-05-17,0 days 16:02:24,40.699,144.192,20.0,6.3,1968,5,Undefined,Undefined,1.0,Shallow,Convergent,Philippine-Eurasian
922,1968-05-17,0 days 18:17:09,39.684,143.366,34.9,6.1,1968,5,Undefined,Undefined,1.0,Shallow,Convergent,Philippine-Eurasian
923,1968-05-18,0 days 01:02:28,-55.446,-27.854,15.0,5.8,1968,5,Undefined,Undefined,0.0,Shallow,Divergent,SouthAmerican-African
924,1968-05-19,0 days 04:12:38,35.626,141.955,20.0,6.3,1968,5,Undefined,Undefined,1.0,Shallow,Convergent,Philippine-Eurasian
925,1968-05-19,0 days 22:16:49,40.941,143.458,37.4,6.1,1968,5,Undefined,Undefined,1.0,Shallow,Convergent,Philippine-Eurasian
926,1968-05-20,0 days 03:16:20,40.15,144.063,15.0,5.9,1968,5,Undefined,Undefined,0.0,Shallow,Convergent,Philippine-Eurasian
927,1968-05-20,0 days 07:13:09,-30.799,-178.11,55.0,7.0,1968,5,Undefined,Undefined,2.0,Shallow,Convergent,Australian-Pacific
928,1968-05-20,0 days 10:34:20,48.737,154.903,51.9,5.8,1968,5,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
929,1968-05-20,0 days 20:05:51,-30.725,-178.087,50.0,6.9,1968,5,Undefined,Undefined,1.0,Shallow,Convergent,Australian-Pacific
930,1968-05-20,0 days 21:09:46,44.822,150.219,28.3,7.0,1968,5,Undefined,Undefined,2.0,Shallow,Transform,NorthAmerican-Pacific
931,1968-05-21,0 days 00:19:35,44.758,150.255,35.0,5.9,1968,5,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
932,1968-05-21,0 days 04:11:26,41.162,143.667,30.0,5.6,1968,5,Undefined,Undefined,0.0,Shallow,Convergent,Philippine-Eurasian
933,1968-05-21,0 days 08:20:02,44.878,150.186,31.3,6.3,1968,5,Undefined,Undefined,1.0,Shallow,Transform,NorthAmerican-Pacific
934,1968-05-21,0 days 11:00:46,44.737,150.244,30.0,5.8,1968,5,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
935,1968-05-22,0 days 10:51:55,41.529,143.031,45.1,6.0,1968,5,Undefined,Undefined,0.0,Shallow,Convergent,Philippine-Eurasian
936,1968-05-22,0 days 19:29:28,40.25,142.51,48.5,6.0,1968,5,Undefined,Undefined,0.0,Shallow,Convergent,Philippine-Eurasian
937,1968-05-23,0 days 17:24:18,-41.659,172.02,20.0,7.2,1968,5,New Zealand,Oceania,2.0,Shallow,Convergent,Australian-Pacific
938,1968-05-24,0 days 14:06:24,40.881,143.178,27.6,6.6,1968,5,Undefined,Undefined,1.0,Shallow,Convergent,Philippine-Eurasian
939,1968-05-24,0 days 15:43:56,-6.799,118.853,619.1,6.2,1968,5,Indonesia,Asia,1.0,Deep,Convergent,Australian-Eurasian
940,1968-05-24,0 days 20:57:26,-41.939,171.999,15.0,5.7,1968,5,New Zealand,Oceania,0.0,Shallow,Convergent,Australian-Pacific
941,1968-05-25,0 days 11:52:58,40.179,143.29,31.8,6.1,1968,5,Undefined,Undefined,1.0,Shallow,Convergent,Philippine-Eurasian
942,1968-05-28,0 days 09:06:31,-30.786,-177.63,30.0,5.9,1968,5,Undefined,Undefined,0.0,Shallow,Convergent,Australian-Pacific
943,1968-05-28,0 days 13:27:19,-2.85,139.353,45.0,7.5,1968,5,Indonesia,Asia,2.0,Shallow,Convergent,Australian-Eurasian
944,1968-05-28,0 days 22:30:00,52.215,172.763,20.5,5.7,1968,5,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
945,1968-05-30,0 days 05:23:48,44.65,150.259,24.2,5.9,1968,5,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
946,1968-05-30,0 days 19:42:26,-30.928,-177.397,35.0,6.4,1968,5,Undefined,Undefined,1.0,Shallow,Convergent,Australian-Pacific
947,1968-06-01,0 days 10:31:50,40.252,142.397,45.0,5.8,1968,6,Undefined,Undefined,0.0,Shallow,Convergent,Philippine-Eurasian
948,1968-06-02,0 days 08:18:37,-8.076,158.673,35.0,5.7,1968,6,Solomon Islands,Oceania,0.0,Shallow,Convergent,Australian-Pacific
